paper_id,publication_year,n_citations,mode_years,mode_ci_lo,mode_ci_hi,log_sd,logmean,peak_beyond_window,title
W2945001263,2019,36,3.2463,2.0602,inf,0.8255,1.8589,True,Climate system response to stratospheric sulfate aerosols: sensitivity to altitude of aerosol layer
W2772896719,2017,323,3.2287,2.8996,3.5874,0.7051,1.6692,False,Greater future global warming inferred from Earth’s recent energy budget
W1993208092,2015,29,3.1748,0.1861,inf,1.6906,4.0135,True,Impacts of ocean albedo alteration on Arctic sea ice restoration and Northern Hemisphere climate
W1905430927,2013,320,3.1681,2.2404,4.544,1.4618,3.2901,False,Climate model response from the Geoengineering Model Intercomparison Project (GeoMIP)
W2041362028,2011,52,3.151,2.2507,3.9606,0.6968,1.6332,False,Can we test geoengineering?
W3011998440,2019,132,3.1413,2.5501,4.528,0.7996,1.784,False,The Ocean as a Solution to Climate Change: Five Opportunities for Action
W2999702683,2020,15,3.067,0.1143,inf,1.4476,3.2163,True,The Climatic Effects of Hygroscopic Growth of Sulfate Aerosols in the Stratosphere
W2316420616,2016,36,3.0525,2.0764,4.0712,0.6685,1.5629,False,Why must a solar forcing be larger than a CO <sub>2</sub> forcing to cause the same global mean surface temperature change?
W2614248593,2017,46,2.9904,1.9837,4.754,0.7927,1.7237,False,Evaluating relative benefits of different types of R&amp;D for clean energy technologies
W2056736723,2014,46,2.9111,2.0973,3.6474,0.6584,1.502,False,"Community calcification in Lizard Island, Great Barrier Reef: A 33 year perspective"
W2126237691,2012,81,2.9078,1.928,3.8284,0.9197,1.9133,False,Carbon turnover rates in the One Tree Island reef: A 40‐year perspective
W2885645393,2018,85,2.9044,2.3066,3.6924,0.7177,1.5813,False,Expected limits on the ocean acidification buffering potential of a temperate seagrass meadow
W3086306797,2020,21,2.8898,2.1899,4.5043,0.4472,1.2612,False,Would firm generators facilitate or deter variable renewable energy in a carbon-free electricity system?
W2172949346,2015,27,2.8774,0.9831,7.9106,0.9098,1.8846,False,Fast and slow climate responses to CO<sub>2</sub> and solar forcing: A linear multivariate regression model characterizing transient climate change
W2739200690,2017,49,2.8579,1.8079,4.8898,0.8618,1.7928,False,Simultaneous stabilization of global temperature and precipitation through cocktail geoengineering
W2165473104,2012,118,2.7586,1.7241,3.7892,1.1302,2.292,False,Climate response to changes in atmospheric carbon dioxide and solar irradiance on the time scale of days to weeks
W2965418441,2019,22,2.7544,2.1392,3.3456,0.4138,1.1845,False,Climate Response to Pulse Versus Sustained Stratospheric Aerosol Forcing
W3043660579,2020,16,2.731,1.3442,inf,0.689,1.4795,True,A 32-million year cycle detected in sea-level fluctuations over the last 545 Myr
W3205902264,2021,3,2.7273,1.8999,3.6782,0.1588,1.0285,False,Portfolios all the way down …
W2783110481,2018,33,2.707,0.1722,inf,1.9841,4.9326,True,Widespread persistent changes to temperature extremes occurred earlier than predicted
W2559815628,2016,6,2.6388,0.0065,inf,0.9929,1.9561,True,Spatial Distribution of Generation of Lorenz’s Available Potential Energy in a Global Climate Model
W1990486347,2012,133,2.6316,2.0186,3.2027,0.8529,1.6949,False,A short-term in situ CO2 enrichment experiment on Heron Island (GBR)
W1995346451,2013,4,2.5644,0.0014,inf,0.8847,1.7245,True,Prudence on solar climate engineering
W2164573249,2012,86,2.5573,0.3542,23.3903,3.0,9.939,False,Ecosystem Impacts of Geoengineering: A Review for Developing a Science Plan
W4213267136,2022,96,2.5551,1.5879,inf,1.139,2.2355,True,Stylized least-cost analysis of flexible nuclear power in deeply decarbonized electricity systems considering wind and solar resources worldwide
W2090023600,2013,18,2.5487,0.8239,4.0134,0.7913,1.5618,False,Climate response due to carbonaceous aerosols and aerosol-induced SST effects in NCAR community atmospheric model CAM3.5
W2898101520,2018,38,2.5485,1.6032,4.0349,0.7717,1.5311,False,Assumptions for emergent constraints
W2975412290,2019,44,2.5339,1.7002,4.6587,0.7806,1.5391,False,Living coral tissue slows skeletal dissolution related to ocean acidification
W3005963286,2020,8,2.5245,0.1423,inf,0.6234,1.3146,True,Empirical Prediction of Short‐Term Annual Global Temperature Variability
W2178610508,2015,135,2.5221,1.8817,3.153,0.9352,1.7997,False,Combustion of available fossil fuel resources sufficient to eliminate the Antarctic Ice Sheet
W1594164258,2015,62,2.4799,1.6785,3.2251,0.814,1.5708,False,Six Month In Situ High-Resolution Carbonate Chemistry and Temperature Study on a Coral Reef Flat Reveals Asynchronous pH and Temperature Anomalies
W3081397028,2020,57,2.4676,1.6341,14.1032,0.9238,1.7567,False,Effects of Deep Reductions in Energy Storage Costs on Highly Reliable Wind and Solar Electricity Systems
W1965663041,2013,85,2.4487,1.6907,3.144,0.8763,1.6635,False,Risks to coral reefs from ocean carbonate chemistry changes in recent earth system model projections
W2522765912,2016,101,2.4481,1.6366,3.3617,1.0226,1.9411,False,Dependence of global radiative feedbacks on evolving patterns of surface heat fluxes
W4293259853,2022,12,2.4317,1.6819,inf,0.4339,1.0768,True,Idealized analysis of relative values of bidirectional versus unidirectional electric vehicle charging in deeply decarbonized electricity systems
W2516452788,2016,28,2.3765,0.4943,8.7446,0.9969,1.8594,False,"Quantifying expert consensus against the existence of a secret, large-scale atmospheric spraying program"
W3028615387,2020,69,2.3546,1.4901,22.4357,1.0591,1.9781,False,Developing reliable hourly electricity demand data through screening and imputation
W3175390284,2021,90,2.344,1.8151,4.3779,0.7995,1.4911,False,Opportunities for flexible electricity loads such as hydrogen production from curtailed generation
W2723344177,2017,341,2.3207,2.001,2.6417,0.8723,1.6028,False,"Evaluation of a proposal for reliable low-cost grid power with 100% wind, water, and solar"
W2027334164,2012,46,2.2876,0.1786,13.5082,1.5299,3.1679,False,Attribution of atmospheric CO <sub>2</sub> and temperature increases to regions: importance of preindustrial land use change
W4281751737,2022,33,2.2484,1.0365,inf,1.1333,2.0947,True,Guiding the deployment of electric vehicles in the developing world
W2010698719,2011,9,2.237,0.6839,3.5034,0.6412,1.2163,False,Comment on “Atmospheric <i>P</i> <scp>co</scp> <sub>2</sub> Perturbations Associated with the Central Atlantic Magmatic Province”
W2783159541,2018,124,2.1783,1.4688,3.2668,1.1279,2.0507,False,Taking the metabolic pulse of the world’s coral reefs
W2289721959,2016,14,2.1765,1.2537,2.9417,0.5399,1.0693,False,Simulated long‐term climate response to idealized solar geoengineering
W2969843139,2019,17,2.1645,0.1606,inf,0.9463,1.6677,True,Induced Energy-Saving Efficiency Improvements Amplify Effectiveness of Climate Change Mitigation
W3096279129,2020,37,2.0932,1.5473,2.6899,0.5918,1.0889,False,Atmospheric pressure gradients and Coriolis forces provide geophysical limits to power density of large wind farms
W2787701140,2018,30,1.9478,0.1203,inf,1.4998,2.9161,True,Does shortwave absorption by methane influence its effectiveness?
W2094132477,2012,130,1.9073,0.3703,9.7893,2.6333,7.5799,False,Crop yields in a geoengineered climate
W2792232334,2018,162,1.9027,1.1737,3.0519,1.3576,2.4863,False,Carbon dioxide addition to coral reef waters suppresses net community calcification
W4214901850,2022,119,1.8739,1.1844,inf,1.2905,2.2935,True,The role of concentrated solar power with thermal energy storage in least-cost highly reliable electricity systems fully powered by variable renewable energy
W4220772083,2022,6,1.855,0.9263,inf,0.3618,0.7487,True,Electricity systems in the limit of free solar photovoltaics and continent-scale transmission
W2300549890,2016,67,1.8186,0.3089,5.7437,1.4683,2.754,False,Nighttime dissolution in a temperate coastal ocean ecosystem increases under acidification
W4224529725,2022,9,1.7801,1.2548,2.3279,0.3255,0.6826,False,Contrasting climate and carbon-cycle consequences of fossil-fuel use versus deforestation disturbance
W4311880140,2022,3,1.7442,0.003,inf,0.4736,0.7806,True,Comment on “Climate consequences of hydrogen emissions” by Ocko and Hamburg (2022)
W2076938378,2012,10,1.736,0.4742,2.8068,0.7054,1.0492,False,Temperature change vs. cumulative radiative forcing as metrics for evaluating climate consequences of energy system choices
W4250644476,2013,48,1.2933,0.5675,1.9655,1.0306,1.3193,False,Rethinking wedges
W4220806297,2022,14,1.2857,0.1502,inf,0.7657,0.8375,True,The quantity-quality transition in the value of expanding wind and solar power generation
W3005563237,2020,25,1.2661,0.0501,inf,1.4512,2.3419,True,Climate effects of aerosols reduce economic inequality
W2909251643,2019,25,1.2651,0.0415,inf,1.5,2.4853,True,Estimating Contributions of Sea Ice and Land Snow to Climate Feedback
W2163571212,2012,135,1.1983,0.3379,2.0231,1.603,2.7507,False,"Greenhouse gases, climate change and the transition from coal to low-carbon electricity"
W2552077768,2017,31,1.1479,0.04,17.4623,1.8235,3.463,False,Reflecting on 50 years of geoengineering research
W3082680388,2020,8,1.1309,0.0055,27.1553,0.8648,0.8708,False,Break-even year: a concept for understanding intergenerational trade-offs in climate change mitigation policy
W4212946345,2022,40,1.0343,0.3081,6.9305,1.1106,1.2672,False,Exploring the role of electric vehicles in Africa's energy transition: A Nigerian case study
W3159902348,2021,8,0.9116,0.0028,inf,1.2858,1.5607,True,Meteorology and Climatology of Historical Weekly Wind and Solar Power Resource Droughts over western North America in ERA5
W2341585776,2016,18,0.783,0.008,8.6135,1.6816,2.5832,False,Interannual stability of organic to inorganic carbon production on a coral atoll
W4239079197,2019,8,0.7276,0.0014,3.2436,1.0693,0.8254,False,Climate System Response to Stratospheric Sulfate Aerosols:Sensitivity to Altitude of Aerosol Layer
